stime,mode,size,color,date,pool,author,dbid,text
665.79500,1,25,16777215,1671977610,0,d94ee75c,1215395306104044032,11,当窗理云鬓，对镜帖花黄
651.76900,1,25,15138834,1671977392,0,e30c829d,1215393477245021952,11,来啊快活啊反正有大把时光～
24.41200,5,25,15138834,1671975132,0,5be6a539,1215374516146962176,11,臣妾要告发熹贵妃私通
788.29900,1,25,16777215,1671974440,0,187d7bab,1215368713646330880,11,谢谢庄嫂
128.59700,1,25,16777215,1671974419,0,b34e1f9f,1215368534021231104,11,祺贵人美丽，却实在愚蠢
456.47200,1,25,16777215,1671966341,0,8eb8987d,1215300767733420800,11,两个大油漆泡泡
645.37900,1,25,16777215,1671966287,0,99aca412,1215300319387710720,11,古剑奇谭阿
90.06300,1,25,16777215,1671965275,0,5e10cd1d,1215291833060444416,11,借你吉言
730.79800,1,25,16777215,1671963666,0,f99ffdc5,1215278329557726464,11,丝滑
63.05700,1,25,16777215,1671961841,0,2270bc33,1215263024248687616,11,有一阵子真的火，朋友圈都是它
783.31200,1,25,16777215,1671959550,0,d891931a,1215243805025099264,11,借你吉言
538.43000,1,25,16777215,1671955311,0,60b0e0db,1215208242645663488,11,哈哈哈哈哈哈哈哈哈先笑为敬
128.50900,1,25,16777215,1671953095,0,278735c0,1215189656644478976,11,祺贵人愚蠢却实在美丽
565.25000,1,25,16777215,1671952086,0,ac520570,1215181190064432896,11,有点像曾小贤啊哈哈哈哈
633.06800,1,25,16777215,1671950516,0,70e4e996,1215168024806445312,11,哈哈哈哈张翰的烟熏妆笑死人了
105.39700,1,25,16777215,1671949948,0,70e4e996,1215163257795501568,11,今年还火了 宝娟 我的嗓子
238.86200,1,25,16777215,1671948540,0,7acdc0a,1215151446425626880,11,；，kl：
730.25000,1,25,16777215,1671948288,0,592b9217,1215149328260253184,11,优雅太优雅了！
656.97400,1,25,16777215,1671943388,0,251b9398,1215108229424537344,11,啊啊啊啊，救我，救我
149.40700,1,25,16777215,1671942022,0,becc3bf7,1215096770175264512,11,宝娟现在就你最火了
280.03800,1,25,16777215,1671939443,0,17eee1ac,1215075136424678912,11,她干嘛一定非要这个人哈哈哈哈
279.13800,1,25,16777215,1671937738,0,a1c6a6e1,1215060834829804288,11,现在感觉乡村生活才会快乐
573.45800,1,25,16777215,1671912654,0,cdcaa5ca,1214850407923188992,11,抢了二斤山里红
572.24100,1,25,16777215,1671901757,0,2ec80879,1214758999946461696,11,从广亮粉上的
438.74100,1,25,16777215,1671901613,0,2ec80879,1214757794017044480,11,查理二世
410.77300,1,25,16777215,1671899398,0,a93896d4,1214739210725363456,11,我居然看过这个电影
680.83400,1,25,16777215,1671898707,0,e2b6f876,1214733413870140160,11,剪秋 本宫的眼睛好痛啊
147.23400,1,25,16777215,1671898307,0,ae89793,1214730057084545280,11,没想到吧，宝娟嗓才是顶流
166.60200,1,25,16777215,1671896676,0,cd87375f,1214716376187589632,11,以前用VCD看怎么没注意这一段
139.41800,1,25,16777215,1671895321,0,3aed2d28,1214705011964271104,11,现在大家都是安陵容
53.67900,1,25,16777215,1671892503,0,3abeb280,1214681372833197312,11,你们威丝哈哈哈哈哈哈哈
122.73900,5,25,15138834,1671889133,0,b9386ef5,1214653103560069888,11,我的右下角臣妾会魔法
794.36200,1,25,16777215,1671886899,0,ee5b5123,1214634365037172992,11,岁岁平安，财源广进
792.68100,1,25,16777215,1671884721,0,7e64ea08,1214616090345586432,11,谢谢庄嫂
263.61100,1,25,16777215,1671881971,0,3484717c,1214593027478377728,11,竟然不会营养不良
502.35300,1,25,16777215,1671880397,0,9e6aec0e,1214579822601586432,11,哈哈哈哈哈笑死我了
525.76700,1,25,16777215,1671879855,0,54fac570,1214575277233965568,11,哈哈哈哈哈哈哈哈卧槽
489.26600,1,25,16777215,1671879809,0,54fac570,1214574889638582272,11,徐涛老师：勿q
489.26600,1,25,16777215,1671879784,0,54fac570,1214574675376789248,11,徐涛老师：勿q
272.05700,1,25,16777215,1671879458,0,98584231,1214571946402933504,11,赶海博主般的喜悦
268.45000,1,25,10546688,1671879435,0,ad61ed8e,1214571753901225728,11,可能这就是劳动最光荣吧
139.84400,1,25,16777215,1671877699,0,b3edd79e,1214557188224496128,11,你现在就是最火的
330.15200,1,25,16777215,1671877650,0,cb6cb477,1214556776318668288,11,将士：？我真的栓Q
784.60800,1,25,16777215,1671877551,0,263fb1e,1214555948530602240,11,谢谢庄嫂
464.32100,1,25,16777215,1671876539,0,34d0d043,1214547454393969664,11,林俊杰你在干什么
454.90000,1,25,16777215,1671874708,0,969a57fd,1214532100909574656,11,你是想听江南还是相声.jpg
748.68900,1,25,16777215,1671874254,0,3723d3fa,1214528288689967872,11,离婚重新找个有生育能力的不就行了
31.70000,1,25,16777215,1671874232,0,7961fa09,1214528101204187136,11,小时候感觉《西游记》永远看不完
287.34800,1,25,16777215,1671872230,0,462c7756,1214511314744012800,11,应该是爱新觉罗难说
129.64600,1,25,16777215,1671867523,0,1038475b,1214471827947255552,11,可惜我从未看过甄嬛传
148.06800,5,25,16777215,1671867038,0,f8be670c,1214467755907320320,11,臣妾要踢世界杯
362.08700,5,25,16646914,1671863443,0,c1b23258,1214437599499024384,11,那不是大臣，那是太子二阿哥
408.21200,1,25,16777215,1671862284,0,3c07095f,1214427881774577920,11,比奇堡恐怖故事
620.04600,1,25,16777215,1671862270,0,f3c25f2,1214427761331276032,11,你不要过来啊！
792.45300,1,25,16777215,1671861400,0,eccc13e2,1214420459148367872,11,谢谢庄嫂～
662.28200,1,25,16777215,1671857763,0,1ed684bf,1214389948866839808,11,生活不易，凯哥卖艺
661.13800,1,25,16777215,1671855719,0,d339f70d,1214372804020098816,11,很难想象张翰的背景
634.14500,1,25,16777215,1671855182,0,dd9860aa,1214368303364300800,11,我不知道我之前是怎么看下去的
99.11700,1,25,16777215,1671854376,0,6f2a7559,1214361538807234304,11,啊 金钱豹这配音
428.75200,1,25,16777215,1671853678,0,8369478e,1214355688172696832,11,这声音不搭章鱼哥
90.26500,1,25,16777215,1671848724,0,7b0a56d7,1214314127661810688,11,别模糊剧情，这还是强抢民女
788.47600,1,25,16777215,1671841867,0,fded7ab9,1214256606213431296,11,借你吉言!
91.91800,1,25,16777215,1671840872,0,fded7ab9,1214248259162622208,11,借你吉言
